Date,APPL,AMZN,MSFT,GS,PFZR,SPX,UST3M (Rf)
2017.1.31,0.0458765,0.0927143,0.0395982,-0.0432262,-0.0233295,0.01596240441,0.000400
2017.2.28,0.1215492,0.0260633,-0.0104176,0.0785522,0.0724444,0.03270596449,0.000400
2017.3.31,0.0476077,0.0485512,0.0289607,-0.0768095,0.0027791,0.001431206844,0.000600
2017.4.28,-0.0002784,0.0418694,0.0387184,-0.0261084,-0.0086715,0.008773176533,0.000700
2017.5.31,0.0615579,0.0729482,0.0199573,-0.0576632,-0.0380395,0.01296171405,0.000700
2017.6.30,-0.0587770,-0.0275104,-0.0131154,0.0491372,0.0283504,0.005296410094,0.000800
2017.7.31,0.0325121,0.0202480,0.0532499,0.0153392,-0.0129605,0.01938118808,0.000900
2017.8.31,0.0975072,-0.0072544,0.0280754,-0.0070813,0.0226496,-0.001859526196,0.000800
2017.9.29,-0.0628980,-0.0202928,-0.0037518,0.0583768,0.0512311,0.01863047551,0.000900
2017.10.31,0.0929231,0.1400827,0.1103420,0.0220577,-0.0178896,0.02442157529,0.000900
2017.11.30,0.0159628,0.0623498,0.0118316,0.0210568,0.0334301,0.02328018066,0.001000
2017.12.29,-0.0143077,-0.0060099,0.0161455,0.0283458,-0.0011645,0.01264536445,0.001100
2018.1.31,-0.0109265,0.2161592,0.1049980,0.0502545,0.0224664,0.05718127163,0.001200
2018.2.28,0.0615935,0.0412983,-0.0131372,-0.0186886,-0.0198482,-0.0347170648,0.001300
2018.3.30,-0.0589698,-0.0452945,-0.0270228,-0.0430145,-0.0229220,-0.03054029204,0.001400
2018.4.30,-0.0158467,0.0801087,0.0243532,-0.0552171,0.0310239,0.0007134679513,0.001500
2018.5.31,0.1228257,0.0397838,0.0553271,-0.0536524,-0.0186160,0.02069533806,0.001600
2018.6.29,-0.0214178,0.0417682,-0.0023297,-0.0237888,0.0096421,0.00669293837,0.001600
2018.7.31,0.0413379,0.0449819,0.0730209,0.0736577,0.0958652,0.03389113639,0.001600
2018.8.31,0.1770271,0.1250692,0.0572474,0.0015992,0.0391191,0.0253874339,0.001700
2018.9.28,-0.0079415,-0.0059190,0.0179978,-0.0587551,0.0596677,0.005409128778,0.001800
2018.10.31,-0.0313144,-0.2250689,-0.0683873,0.0050266,-0.0232456,-0.0672378346,0.001900
2018.11.30,-0.2030094,0.0571171,0.0374872,-0.1670944,0.0709182,0.01605405227,0.001900
2018.12.31,-0.1228068,-0.1182135,-0.0877905,-0.1323559,-0.0572927,-0.08931984175,0.002000
2019.1.31,0.0515718,0.1337840,0.0277688,0.1700244,-0.0279361,0.06772846239,0.002000
2019.2.28,0.0405334,-0.0473605,0.0702497,-0.0066378,0.0209033,0.02875968961,0.002000
2019.3.29,0.0923665,0.0824630,0.0514093,-0.0242364,-0.0204064,0.01590210004,0.002000
2019.4.30,0.0542999,0.0785733,0.1019632,0.0700445,-0.0447002,0.04059513152,0.002000
2019.5.31,-0.1360989,-0.0820207,-0.0544416,-0.1207924,0.0220918,-0.06779622062,0.002000
2019.6.28,0.1230505,0.0629168,0.0798437,0.1143615,0.0425279,0.06438328827,0.001800
2019.7.31,0.0722878,-0.0125631,0.0170970,0.0731614,-0.1092368,0.01257308706,0.001800
2019.8.30,-0.0191675,-0.0496610,0.0116005,-0.0765396,-0.0885433,-0.01398140719,0.001600
2019.9.30,0.0704608,-0.0228856,0.0084511,0.0161506,0.0106258,0.02005845363,0.001600
2019.10.31,0.1051641,0.0234878,0.0307390,0.0292453,0.0656206,0.01942362796,0.001400
2019.11.29,0.0711873,0.0131907,0.0543645,0.0366705,0.0041158,0.03413403116,0.001300
2019.12.31,0.0935394,0.0255729,0.0409013,0.0380298,0.0168345,0.0281226452,0.001300
2020.1.31,0.0530981,0.0831313,0.0764560,0.0334448,-0.0508116,0.002107205988,0.001300
2020.2.28,-0.1191738,-0.0608391,-0.0494924,-0.1690597,-0.1081974,-0.07646059977,0.001300
2020.3.31,-0.0768678,0.0315055,-0.0269002,-0.2613835,-0.0236357,-0.04874133338,0.000200
2020.4.30,0.1449865,0.2361131,0.1278004,0.1710022,0.1614194,0.01288459243,0.000100
2020.5.29,0.0782200,-0.0146183,0.0222930,0.0688329,-0.0044102,0.07420705423,0.000100
2020.6.30,0.1370011,0.1255687,0.1048638,0.0057345,-0.1550719,-0.004364035406,0.000100
2020.7.31,0.1544171,0.1376905,0.0073436,0.0017190,0.1627770,0.05599636211,0.000100
2020.8.31,0.1955210,0.0843897,0.0953944,0.0343106,-0.0182578,0.06024817174,0.000100
2020.9.30,-0.1119627,-0.0899326,-0.0697755,-0.0192200,-0.0291764,-0.04231457173,0.000100
2020.10.30,-0.0594093,-0.0361126,-0.0380860,-0.0611970,-0.0339115,-0.01853184887,0.000100
2020.11.30,0.0886389,0.0427289,0.0557113,0.1986392,0.1302924,0.09820163179,0.000100
2020.12.31,0.1077009,0.0272463,0.0382644,0.1342521,-0.0399414,0.03182553174,0.000100
